,Company,Overall,Work/Life Balance ,Salary/Benefits ,Job Security/Advancement ,Management ,Culture 
92,General Assembly,3.3,4.5,4.0,4.0,5.0,4.5
93,Susquehanna International Group,4.1,3.7,3.8,3.2,3.5,3.7
94,Talent International,3.9,3.2,3.3,2.9,2.9,3.0
95,bar360,3.6,3.8,3.0,2.8,3.0,3.3
96,Daisee,2.0,3.7,3.9,3.5,3.5,3.7
97,Aurec Human Capital Group,4.5,5.0,5.0,4.0,1.0,1.0
98,Tyro,4.0,3.0,3.1,2.9,2.8,2.9
99,Aurec,4.1,3.8,3.7,3.3,3.5,3.7
100,Government of South Australia,3.9,3.7,3.5,3.6,3.4,3.6
101,Talent Insights Group,4.1,3.8,3.9,3.1,3.3,3.8
102,Rio Tinto,4.5,4.0,3.8,4.0,3.9,4.4
103,MINDCLOUD CONSULTANTS,3.9,3.1,3.4,2.4,2.1,2.6
104,CRU International Australia,3.3,4.6,4.4,4.0,4.1,4.1
105,Collabera,3.5,3.3,4.0,3.5,3.6,3.8
106,Clicks IT Recruitment,3.9,3.6,3.5,3.2,3.3,3.5
107,Arup,5.0,3.9,3.3,3.3,3.2,3.7
108,CSK Nexus Pty Ltd,4.0,3.3,4.7,3.0,3.3,3.0
109,FulSearch,3.2,3.5,3.1,2.9,3.0,3.2
110,Compas PTY,3.9,3.8,3.9,3.5,3.6,3.8
111,CSIRO'S DATA61 EMPLOI,3.9,4.0,3.6,3.7,4.1,4.1
112,AustCorp Executive,3.7,4.0,4.1,3.6,3.7,4.0
113,Manpower,4.2,4.0,4.2,3.7,3.7,4.2
114,Queensland Government,2.8,3.8,3.6,2.8,3.0,3.3
115,Infinity pro,4.5,2.7,2.7,2.7,3.0,2.8
116,RedBubble,4.1,3.3,3.1,3.1,3.1,3.4
117,Deloitte,3.7,4.1,4.0,3.3,3.5,3.9
118,The Walter and Eliza Hall Institute of Medical Res...,4.0,3.9,3.7,3.4,3.4,3.9
119,JLL,3.8,3.9,4.1,3.7,3.8,4.0
120,ARQ Group,5.0,3.7,3.5,3.3,3.4,3.4
121,Morgan Consulting,3.3,3.3,3.6,3.0,2.9,2.9
122,Nine Entertainment,3.3,4.5,3.5,4.5,4.5,4.0
123,Embedded Search & Selection,3.9,4.3,4.3,3.3,3.6,3.9
124,WSP,4.5,4.5,4.2,3.8,4.2,3.7
125,SNC-Lavalin,4.2,3.7,3.7,3.5,3.4,3.6
126,Zone IT Solutions,4.2,3.6,3.7,3.2,3.3,3.5
127,Full Circle Partners,3.3,3.8,3.8,3.3,3.4,3.6
128,Agilent,3.5,4.4,4.4,4.0,4.0,4.2
129,Marshall Mcadam,3.5,4.5,4.5,4.0,4.5,5.0
130,Experis,4.1,3.1,3.8,3.4,3.1,3.1
131,Hudson,4.0,4.2,3.8,4.0,4.0,4.2
132,Credit Suisse,4.1,4.6,4.9,4.9,4.8,4.9
133,FourQuarters,3.7,3.1,3.0,2.8,2.8,3.1
134,Charterhouse Partnership,3.0,3.5,2.8,2.8,3.5,3.5
135,Akuna Capital,3.4,4.0,3.9,3.6,4.0,4.2
136,Star of the Sea College,4.0,3.6,3.5,3.4,3.4,3.5
137,Capgemini,5.0,3.8,3.9,3.4,3.6,3.7
138,BHP Billiton,5.0,3.0,3.0,3.1,2.9,3.3
139,Ericsson,4.2,3.6,3.7,3.2,3.2,3.5
140,inDmand,4.3,3.9,4.0,3.6,3.7,4.1
141,First People Recruitment Solutions,3.8,3.7,3.7,3.2,3.4,3.6
142,University of Southern Queensland,2.0,4.0,3.0,4.0,3.5,4.5
143,Public Health Association Australia,3.8,3.8,3.8,3.7,3.4,3.9
144,The University of Western Australia,3.8,5.0,4.5,4.5,4.5,4.5
145,WorkSafe Victoria,4.4,3.9,3.6,3.6,3.5,3.7
146,"Alteryx, Inc.",5.0,3.6,4.0,3.0,3.5,3.3
147,University of New South Wales,3.8,4.0,3.7,3.5,3.5,3.8
148,PIMCO,4.2,4.1,4.1,4.0,3.9,4.1
149,Davidson,4.9,3.7,3.6,3.4,3.7,3.7
150,Ambition,3.3,3.8,3.5,3.8,3.5,3.8
151,Carnival,3.8,3.8,3.9,3.7,3.6,3.9
152,DOMAIN,4.3,3.7,3.9,3.2,3.3,3.6
153,Servian,3.7,4.0,4.0,3.5,3.5,3.5
154,Fuse Recruitment,4.0,3.8,3.7,3.2,3.5,3.7
155,Deputy,3.5,3.9,4.1,3.3,3.1,3.5
156,BuzzFeed,3.7,4.4,4.2,3.6,3.9,4.2
157,Pepper,4.2,4.5,4.0,4.1,4.3,4.6
158,Nokia,3.8,2.3,2.0,1.8,1.8,2.0
159,EnergyLink,4.0,3.5,3.5,2.7,3.1,3.3
160,Lendlease,3.9,3.7,3.6,3.8,3.4,3.9
161,Wizeline,4.0,3.5,3.0,2.3,2.3,2.3
162,Catalent Pharma Solutions,4.5,3.8,3.9,3.2,3.4,3.6
163,The Leading Edge,4.0,3.3,4.0,3.4,3.0,3.4
164,JPMorgan Chase,3.6,3.8,4.0,3.7,4.0,4.1
165,DataRobot,4.0,3.6,3.4,2.5,3.3,3.3
166,DFP Recruitment Services Pty Ltd,4.0,3.9,3.7,3.8,3.6,3.9
167,Mediacom Communications Corporation,4.2,3.8,3.5,3.6,3.6,3.7
168,UBS,4.0,3.6,3.4,3.3,3.3,3.4
169,Woolworths Supermarket,4.0,4.1,3.4,3.5,3.7,4.1
170,Pivotal Labs Inc,4.0,3.4,4.0,3.5,3.1,3.0
171,ThoughtWorks,3.8,3.3,3.2,3.2,3.0,3.1
172,SA Health,4.5,4.3,4.3,4.3,4.0,4.3
173,Mars Recruitment Australia,3.9,3.8,3.8,3.7,3.6,3.7
174,Premonition,3.9,4.6,4.6,4.8,4.6,4.6
175,South32,4.5,4.2,2.8,4.0,3.2,4.0
176,hipages,4.6,4.0,4.0,3.7,3.7,3.8
177,Goldman Sachs,3.0,4.2,4.7,4.6,4.6,4.8
178,PAREXEL,3.0,3.7,3.8,3.6,3.6,3.9
179,Conkerberry Games Recruitment,3.0,4.5,4.0,4.0,4.5,4.5
180,ACRWORLD,3.6,3.5,3.1,3.1,3.0,3.3
181,Morningstar,4.0,3.6,3.3,3.0,3.1,3.3
182,Sustainability Consulting,2.8,4.4,3.9,3.8,3.9,4.2
183,Saul Recruitment,5.0,3.4,3.8,3.1,3.3,3.5
184,Seeing Machines,3.9,3.4,3.3,2.9,3.3,3.4
185,DXC Technology,3.7,3.6,3.5,3.5,3.5,3.7
186,Citi,4.1,3.2,3.2,3.0,3.0,3.2
187,Save The Children Australia,3.8,4.1,4.4,3.9,4.0,4.0
188,Clear Recruitment,4.2,3.5,3.7,3.0,2.9,3.5
189,Bayer,4.0,3.8,3.7,3.4,3.3,3.4
190,Salesforce,3.7,4.1,4.2,3.9,4.0,4.4
191,TheDriveGroup,4.0,3.6,3.5,3.1,3.3,3.5
192,Australian Wildlife Conservancy,4.0,3.4,3.5,3.2,3.2,3.3
193,CONVIVA,3.3,3.5,3.5,2.7,3.1,3.3
194,ACT HEALTH,4.0,3.9,3.6,3.5,3.4,3.6
195,Travelex,4.0,4.0,3.8,3.7,3.6,3.7
196,Infy Australia,4.6,3.7,3.9,3.3,3.5,3.6
197,Hyper Anna,4.2,3.8,3.9,3.1,3.4,3.6
198,Autodesk,4.0,4.0,3.6,3.5,3.5,3.7
199,Square,4.9,3.9,3.8,3.8,3.8,3.6
200,KBR,4.1,4.5,4.0,4.5,4.5,4.5
201,Monica Clare Recruitment,4.5,4.1,3.8,3.6,3.6,3.7
202,Whizdom Recruitment,5.0,4.5,4.5,4.0,4.0,4.0
203,Equifax,3.4,3.4,3.4,3.2,3.1,3.4
204,Spark Recruitment,3.5,4.1,4.0,3.7,3.9,4.2
205,Peter MacCallum Cancer Centre,4.3,2.7,2.0,3.5,3.0,2.5
206,opus recruitment solutions,3.7,3.7,3.9,3.4,3.5,3.7
207,en world,3.6,3.9,3.9,3.5,3.4,3.8
208,Piktochart,3.8,3.8,3.7,3.1,3.3,3.3
209,talent nation,3.4,3.9,3.8,3.2,3.5,3.6
210,realestate.com.au,4.3,4.2,3.8,3.8,3.6,3.8
211,AIRTREE VENTURES,3.9,5.0,5.0,5.0,5.0,5.0
212,Queensland University of Technology,3.8,3.2,3.5,2.6,2.9,3.1
213,University Of Canberra,4.5,3.7,3.6,3.5,3.6,3.8
214,Australian Hearing,3.7,4.0,4.0,3.5,3.4,3.7
215,Digital Gurus,3.6,2.3,2.0,1.3,1.7,1.7
216,CITI Recruitment,3.6,3.4,3.7,3.0,3.1,3.3
217,Canberra Consulting,3.9,4.0,3.7,4.0,4.0,3.3
218,KAPiTAL CONSULTING,4.0,3.9,3.6,3.4,3.6,3.7
219,Finite IT,3.9,3.8,3.9,3.3,3.4,3.7
220,Limelight Consulting Group Pty Ltd,3.0,3.8,3.4,3.1,3.6,3.7
221,Headcount Solutions Ltd.,3.9,3.5,3.8,3.3,3.0,3.3
222,COUNTERPOINT,4.1,3.6,3.5,3.3,3.4,3.7
223,Zx Ventures,4.0,4.0,4.0,3.8,3.9,4.0
224,Catapult Sports,4.5,3.9,2.9,3.7,3.6,3.6
225,MitchelLake,4.0,3.9,3.8,3.5,3.5,3.8
226,Jenkin Beattie,4.0,4.0,3.8,3.8,3.7,3.9
227,Infopeople,4.0,2.9,2.3,1.8,1.8,2.3
228,Boral,3.6,3.6,3.7,3.2,3.3,3.5
229,TEG Pty Ltd,4.3,3.0,3.5,3.3,4.0,3.0
230,QBE Insurance,4.2,3.5,3.6,3.3,3.5,3.7
231,Winning Group,4.0,2.5,2.5,1.5,1.5,1.5
232,nib health funds limited,3.9,3.4,3.5,3.1,3.3,3.4
233,Oliver Wyman,3.7,3.9,3.4,3.2,3.6,3.6
234,Domain Group,3.9,3.0,3.0,2.8,2.8,3.1
235,people2people,4.4,3.5,3.8,3.5,3.4,3.7
236,Winc ANZ,5.0,3.6,3.6,3.1,3.3,3.6
237,HelloFresh,3.2,4.0,4.0,3.5,3.5,4.1
238,The Network IT,4.0,4.0,4.0,3.7,3.5,3.9
239,ASIC,4.1,3.6,3.4,2.8,3.1,3.4
240,Whistle Funds Management,2.3,3.7,3.5,3.3,3.4,3.6
241,UNICEF,5.0,3.8,3.6,3.4,3.4,3.6
242,Harvey Norman,3.5,2.7,3.1,2.7,2.9,3.0
243,St Vincent de Paul Society NSW,4.3,3.3,3.3,3.1,2.9,3.1
244,Downer NZ,3.9,3.3,2.7,3.3,2.0,2.7
245,Smart Group,3.9,3.9,4.0,3.5,3.7,4.0
246,Experian,3.9,3.7,3.0,3.4,3.6,3.9
247,Danone,3.3,3.9,4.0,3.7,3.8,4.0
248,Cubic Corporation,3.8,2.8,2.6,3.0,2.8,3.0
249,Digital Alchemy,4.2,3.6,3.4,2.8,3.0,2.8
250,Yodlee,3.9,3.8,3.6,3.5,3.5,3.4
251,Reprise Media Australia,4.0,4.1,4.0,3.6,3.8,4.0
